scenario,load,rep,seed,emitted,persisted,loss_rate,lat_p50_ms,lat_p95_ms,lat_max_ms,click_of_sent,submit_of_click,elapsed_s
baixo,100,1,20262010,100,100,0.0,1.0,1.0,2.0,0.1045,0.5714,0.422
baixo,1000,1,20262910,1000,1000,0.0,1.0,2.0,5.0,0.106,0.4925,4.767
baixo,10000,1,20271910,10000,10000,0.0,1.0,2.0,71.0,0.1021,0.4544,68.344
base,100,1,20262010,100,100,0.0,1.0,3.0,3.0,0.1231,0.625,0.745
base,1000,1,20262910,1000,1000,0.0,1.0,3.0,6.0,0.1689,0.51,7.286
base,10000,1,20271910,10000,10000,0.0,1.0,3.0,70.0,0.1743,0.4629,72.742
alto,100,1,20262010,100,100,0.0,1.0,2.0,4.0,0.2745,0.4286,0.571
alto,1000,1,20262910,1000,1000,0.0,1.0,3.0,14.0,0.306,0.4564,7.64
alto,10000,1,20271910,10000,10000,0.0,1.0,3.0,16.0,0.2904,0.4689,69.774
baixo,10000,2,20272910,10000,10000,0.0,1.0,2.0,39.0,0.097,0.4919,59.869
baixo,1000,2,20263910,1000,1000,0.0,1.0,2.0,13.0,0.0896,0.4655,5.537
baixo,100,2,20263010,100,100,0.0,1.0,2.0,2.0,0.0794,0.6,0.506
base,10000,2,20272910,10000,10000,0.0,1.0,2.0,39.0,0.1625,0.4816,57.279
base,1000,2,20263910,1000,1000,0.0,1.0,2.0,26.0,0.1708,0.466,5.08
base,100,2,20263010,100,100,0.0,1.0,2.0,41.0,0.2034,0.4167,0.601
alto,10000,2,20272910,10000,10000,0.0,1.0,2.0,55.0,0.2993,0.464,54.228
alto,1000,2,20263910,1000,1000,0.0,1.0,2.0,4.0,0.3041,0.4698,5.976
alto,100,2,20263010,100,100,0.0,2.0,4.0,6.0,0.22,0.4545,0.993
baixo,100,3,20264010,100,100,0.0,1.5,3.0,6.0,0.0735,0.6,0.753
baixo,1000,3,20264910,1000,1000,0.0,1.0,2.0,12.0,0.0926,0.4262,6.923
baixo,10000,3,20273910,10000,10000,0.0,1.0,2.0,20.0,0.0995,0.4905,67.68
base,100,3,20264010,100,100,0.0,1.0,2.0,4.0,0.1774,0.4545,0.5
base,1000,3,20264910,1000,1000,0.0,1.0,2.0,20.0,0.1596,0.4592,5.387
base,10000,3,20273910,10000,10000,0.0,1.0,2.0,83.0,0.1632,0.468,50.444
alto,100,3,20264010,100,100,0.0,1.0,2.0,3.0,0.3636,0.4375,0.499
alto,1000,3,20264910,1000,1000,0.0,1.0,2.0,5.0,0.3064,0.4595,4.996
alto,10000,3,20273910,10000,10000,0.0,1.0,2.0,14.0,0.2952,0.4584,57.189
baixo,10000,4,20274910,10000,10000,0.0,1.0,3.0,34.0,0.0953,0.4844,77.17
baixo,1000,4,20265910,1000,1000,0.0,1.0,2.0,32.0,0.1086,0.5294,5.587
baixo,100,4,20265010,100,100,0.0,1.0,2.0,3.0,0.0758,0.6,0.604
base,10000,4,20274910,10000,10000,0.0,1.0,2.0,28.0,0.1604,0.4943,59.589
base,1000,4,20265910,1000,1000,0.0,1.0,2.0,3.0,0.177,0.5094,5.736
base,100,4,20265010,100,100,0.0,0.0,1.0,2.0,0.1429,0.4444,0.367
alto,10000,4,20274910,10000,10000,0.0,1.0,2.0,46.0,0.3049,0.4707,69.467
alto,1000,4,20265910,1000,1000,0.0,1.0,2.0,4.0,0.3018,0.5102,5.428
alto,100,4,20265010,100,100,0.0,1.0,2.0,4.0,0.2917,0.5714,0.584
baixo,100,5,20266010,100,100,0.0,1.0,2.0,2.0,0.125,0.125,0.439
baixo,1000,5,20266910,1000,1000,0.0,1.0,2.0,5.0,0.0965,0.4762,5.117
baixo,10000,5,20275910,10000,10000,0.0,1.0,2.0,57.0,0.0985,0.4833,65.701
base,100,5,20266010,100,100,0.0,1.0,2.0,3.0,0.283,0.5333,0.554
base,1000,5,20266910,1000,1000,0.0,1.0,3.0,8.0,0.1623,0.48,7.383
base,10000,5,20275910,10000,10000,0.0,1.0,2.0,39.0,0.1711,0.4833,56.788
alto,100,5,20266010,100,100,0.0,1.0,2.0,3.0,0.3778,0.4118,0.539
alto,1000,5,20266910,1000,1000,0.0,1.0,2.0,6.0,0.3479,0.4214,5.448
alto,10000,5,20275910,10000,10000,0.0,1.0,2.0,9.0,0.2884,0.46,46.675
baixo,10000,6,20276910,10000,10000,0.0,1.0,2.0,45.0,0.0991,0.4849,54.539
baixo,1000,6,20267910,1000,1000,0.0,1.0,2.0,3.0,0.1013,0.5,5.293
baixo,100,6,20267010,100,100,0.0,1.0,1.05,3.0,0.1212,0.5,0.37
base,10000,6,20276910,10000,10000,0.0,1.0,2.0,56.0,0.1643,0.4868,58.021
base,1000,6,20267910,1000,1000,0.0,1.0,2.0,9.0,0.1622,0.5258,5.846
base,100,6,20267010,100,100,0.0,1.0,3.05,12.0,0.1587,0.5,0.862
alto,10000,6,20276910,10000,10000,0.0,1.0,2.0,29.0,0.2922,0.4891,70.58
alto,1000,6,20267910,1000,1000,0.0,1.0,3.0,10.0,0.2955,0.4965,7.162
alto,100,6,20267010,100,100,0.0,1.0,2.0,2.0,0.32,0.3125,0.489
baixo,100,7,20268010,100,100,0.0,1.0,2.0,4.0,0.1452,0.4444,0.51
baixo,1000,7,20268910,1000,1000,0.0,1.0,2.0,6.0,0.0827,0.3704,6.361
baixo,10000,7,20277910,10000,10000,0.0,1.0,2.0,69.0,0.0954,0.4803,60.124
base,100,7,20268010,100,100,0.0,1.0,2.05,4.0,0.2203,0.3846,0.611
base,1000,7,20268910,1000,1000,0.0,1.0,2.0,5.0,0.1689,0.4653,4.868
base,10000,7,20277910,10000,10000,0.0,1.0,2.0,25.0,0.1627,0.4684,60.167
alto,100,7,20268010,100,100,0.0,1.0,3.0,5.0,0.3061,0.2,0.939
alto,1000,7,20268910,1000,1000,0.0,2.0,3.0,8.0,0.3048,0.4726,10.058
alto,10000,7,20277910,10000,10000,0.0,1.0,2.0,32.0,0.304,0.4708,68.763
baixo,10000,8,20278910,10000,10000,0.0,1.0,2.0,45.0,0.1082,0.4708,59.406
baixo,1000,8,20269910,1000,1000,0.0,1.0,2.0,5.0,0.0969,0.5079,5.146
baixo,100,8,20269010,100,100,0.0,1.0,2.0,3.0,0.0806,0.8,0.501
base,10000,8,20278910,10000,10000,0.0,1.0,2.0,42.0,0.1696,0.4672,59.753
base,1000,8,20269910,1000,1000,0.0,1.0,2.0,10.0,0.1749,0.4528,5.503
base,100,8,20269010,100,100,0.0,0.0,1.0,2.0,0.1964,0.5455,0.391
alto,10000,8,20278910,10000,10000,0.0,1.0,2.0,47.0,0.2989,0.463,53.731
alto,1000,8,20269910,1000,1000,0.0,1.0,2.0,3.0,0.3219,0.4733,5.385
alto,100,8,20269010,100,100,0.0,1.0,2.0,31.0,0.2979,0.6429,0.839
baixo,100,9,20270010,100,100,0.0,2.0,3.0,7.0,0.058,0.25,0.893
baixo,1000,9,20270910,1000,1000,0.0,1.0,2.0,6.0,0.0637,0.3023,5.202
baixo,10000,9,20279910,10000,10000,0.0,1.0,2.0,65.0,0.0977,0.457,60.434
base,100,9,20270010,100,100,0.0,1.0,3.0,4.0,0.127,0.625,0.748
base,1000,9,20270910,1000,1000,0.0,1.0,2.0,5.0,0.1328,0.3294,6.527
base,10000,9,20279910,10000,10000,0.0,1.0,2.0,64.0,0.1657,0.466,53.839
alto,100,9,20270010,100,100,0.0,0.0,2.0,3.0,0.3043,0.6429,0.408
alto,1000,9,20270910,1000,1000,0.0,1.0,2.0,4.0,0.2854,0.4532,4.703
alto,10000,9,20279910,10000,10000,0.0,1.0,2.0,57.0,0.3188,0.471,49.609
baixo,10000,10,20280910,10000,10000,0.0,1.0,2.0,82.0,0.0979,0.5242,54.4
baixo,1000,10,20271910,1000,1000,0.0,1.0,2.0,5.0,0.1224,0.3506,4.526
baixo,100,10,20271010,100,100,0.0,1.0,2.0,4.0,0.1212,0.25,0.491
base,10000,10,20280910,10000,10000,0.0,1.0,2.0,28.0,0.1685,0.4801,51.9
base,1000,10,20271910,1000,1000,0.0,1.0,2.0,36.0,0.186,0.3945,5.311
base,100,10,20271010,100,100,0.0,1.0,2.0,2.0,0.1774,0.2727,0.793
alto,10000,10,20280910,10000,10000,0.0,1.0,2.0,55.0,0.2991,0.4615,52.848
alto,1000,10,20271910,1000,1000,0.0,1.0,2.0,65.0,0.2984,0.4483,5.419
alto,100,10,20271010,100,100,0.0,1.0,2.0,2.0,0.3953,0.4118,0.433
baixo,100,11,20272010,100,100,0.0,1.0,3.0,6.0,0.0938,0.5,0.682
baixo,1000,11,20272910,1000,1000,0.0,1.0,2.0,18.0,0.1089,0.597,5.679
baixo,10000,11,20281910,10000,10000,0.0,1.0,2.0,71.0,0.0969,0.4316,56.755
base,100,11,20272010,100,100,0.0,1.0,2.0,3.0,0.1311,0.5,0.511
base,1000,11,20272910,1000,1000,0.0,1.0,2.0,5.0,0.1585,0.5638,5.031
base,10000,11,20281910,10000,10000,0.0,1.0,2.0,68.0,0.1718,0.4453,57.115
alto,100,11,20272010,100,100,0.0,1.0,1.0,2.0,0.1961,0.3,0.399
alto,1000,11,20272910,1000,1000,0.0,1.0,2.0,3.0,0.3017,0.4965,5.32
alto,10000,11,20281910,10000,10000,0.0,1.0,2.0,20.0,0.2956,0.4793,65.111
baixo,10000,12,20282910,10000,10000,0.0,1.0,3.0,29.0,0.098,0.4462,65.715
baixo,1000,12,20273910,1000,1000,0.0,1.0,2.0,5.0,0.1141,0.4648,6.472
baixo,100,12,20273010,100,100,0.0,1.0,2.0,2.0,0.1148,0.4286,0.471
base,10000,12,20282910,10000,10000,0.0,1.0,2.0,42.0,0.1631,0.459,53.044
base,1000,12,20273910,1000,1000,0.0,1.0,2.0,118.0,0.173,0.4808,5.311
base,100,12,20273010,100,100,0.0,1.0,2.0,2.0,0.1493,0.1,0.457
alto,10000,12,20282910,10000,10000,0.0,1.0,2.0,41.0,0.2928,0.4794,52.353
alto,1000,12,20273910,1000,1000,0.0,1.0,3.0,10.0,0.298,0.4315,6.826
alto,100,12,20273010,100,100,0.0,2.0,4.0,5.0,0.1923,0.6,0.95
baixo,100,13,20274010,100,100,0.0,2.0,3.0,6.0,0.0781,0.6,0.852
baixo,1000,13,20274910,1000,1000,0.0,1.0,2.0,6.0,0.0827,0.3889,6.85
baixo,10000,13,20283910,10000,10000,0.0,1.0,2.0,28.0,0.1056,0.4194,62.522
base,100,13,20274010,100,100,0.0,1.0,1.0,3.0,0.1094,0.4286,0.422
base,1000,13,20274910,1000,1000,0.0,1.0,2.0,14.0,0.1502,0.5275,4.954
base,10000,13,20283910,10000,10000,0.0,1.0,2.0,29.0,0.1702,0.4488,53.946
alto,100,13,20274010,100,100,0.0,2.0,3.0,10.0,0.2453,0.3077,0.852
